accepted_alternative_count,age_scope,case_id,category,dense_first_relevant_rank,dense_hit_rate_at_1,dense_hit_rate_at_3,dense_hit_rate_at_5,dense_mrr,dense_ndcg_at_1,dense_ndcg_at_3,dense_ndcg_at_5,dense_precision_at_1,dense_precision_at_3,dense_precision_at_5,dense_recall_at_1,dense_recall_at_3,dense_recall_at_5,difficulty,expanded_query,first_relevant_rank,hit_rate_at_1,hit_rate_at_3,hit_rate_at_5,hybrid_first_relevant_rank,hybrid_hit_rate_at_1,hybrid_hit_rate_at_3,hybrid_hit_rate_at_5,hybrid_mrr,hybrid_ndcg_at_1,hybrid_ndcg_at_3,hybrid_ndcg_at_5,hybrid_precision_at_1,hybrid_precision_at_3,hybrid_precision_at_5,hybrid_recall_at_1,hybrid_recall_at_3,hybrid_recall_at_5,language,mrr,ndcg_at_1,ndcg_at_3,ndcg_at_5,precision_at_1,precision_at_3,precision_at_5,question,recall_at_1,recall_at_3,recall_at_5,relevance_group_count,reranked_first_relevant_rank,reranked_hit_rate_at_1,reranked_hit_rate_at_3,reranked_hit_rate_at_5,reranked_mrr,reranked_ndcg_at_1,reranked_ndcg_at_3,reranked_ndcg_at_5,reranked_precision_at_1,reranked_precision_at_3,reranked_precision_at_5,reranked_recall_at_1,reranked_recall_at_3,reranked_recall_at_5,retrieved_chapters,rewritten_query,split
1,,DEV001,,2,0.0,1.0,1.0,0.5,0.0,0.63093,0.63093,0.0,0.333333,0.2,0.0,1.0,1.0,,school meals breakfast lunch snacks vending packed lunch child care nutrition school packed lunch food safety cross contamination temperature infectious disease food insecurity screening school breakfast lunch nutrition assistance programs school-age children and adolescents pediatric nutrition,1,1.0,1.0,1.0,2,0.0,1.0,1.0,0.5,0.0,0.63093,0.63093,0.0,0.333333,0.2,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,"How should a school meal program balance nutritional quality, food safety, and specialized diets?",1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,"Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 9: Nutrition in School, Preschool, and Child Care > page 251 || Pediatric-Nutrition > Section VII: Nutrition and Public Health > Chapter 49: Preventing Food Insecurity - Available Community Nutrition Programs > page 1336 || Pediatric-Nutrition > Section V: Nutrient Delivery Systems > Chapter 36: Nutritional Support of Children With Developmental Disabilities > page 1032 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 13: Fast Foods, Organic Foods, Fad Diets, and Herbs, Herbals, and Botanicals > page 382 || Pediatric-Nutrition > Section V: Nutrient Delivery Systems > Chapter 33: Pediatric Obesity > page 937",,dev
3,,DEV002,,3,0.0,1.0,1.0,0.333333,0.0,0.5,0.5,0.0,0.333333,0.2,0.0,1.0,1.0,,iron deficiency anemia cognition school performance adolescent girls adolescents pediatric nutrition,1,1.0,1.0,1.0,2,0.0,1.0,1.0,0.5,0.0,0.63093,0.63093,0.0,0.333333,0.2,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,لماذا يزداد خطر نقص الحديد لدى بعض المراهقات، وما الجوانب الغذائية التي يجب تقييمها؟,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,PNP 3rd Edition Book > 3 > 3.2 Iron: Nutritional Deficiency and Excess > page 243 || PNP 3rd Edition Book > 2 > 2.7 Adolescent Nutrition: Issues and Actions > page 200 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 8: Adolescent Nutrition > page 238 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 12: Sports Nutrition > page 345 || Pediatric-Nutrition > Section IV: Micronutrients and Macronutrients > Chapter 19: Iron > page 559,,dev
2,,DEV003,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,,sports nutrition young athlete hydration carbohydrate recovery energy drinks school-age children and adolescents pediatric nutrition,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,What hydration and beverage risks should be considered for a student athlete training in hot weather?,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 12: Sports Nutrition > page 337 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 7: Feeding the Child > page 216 || PNP 3rd Edition Book > 1 > 1.3 Physiology of Nutrition > 1.3.6 Fluid and Electrolytes > page 96 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 8: Adolescent Nutrition > page 249 || Pediatric-Nutrition > Section V: Nutrient Delivery Systems > Chapter 30: Nutrition Therapy for Children and Adolescents With Type 1 and Type 2 Diabetes Mellitus > page 855,,dev
2,,DEV004,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,,vegetarian vegan child adolescent protein vitamin B12 iron zinc calcium vitamin D school-age children and adolescents pediatric nutrition,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,ما العناصر الغذائية الأكثر عرضة للنقص لدى الطالب النباتي الصرف، وكيف تُحمى كفاية النظام الغذائي؟,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 11: Nutritional Aspects of Vegetarian Diets > page 321 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 12: Sports Nutrition > page 354 || PNP 3rd Edition Book > 2 > 2.9 Vegetarian and Vegan Diets > page 219 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 8: Adolescent Nutrition > page 238 || PNP 3rd Edition Book > 3 > 3.3 Micronutrient Deficiencies > page 254,,dev
2,,DEV005,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,,pediatric obesity assessment staged family-based weight management physical activity screen time school-age children and adolescents pediatric nutrition,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,How does family-based staged care support safe management of pediatric obesity?,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,"Pediatric-Nutrition > Section V: Nutrient Delivery Systems > Chapter 33: Pediatric Obesity > page 943 || PNP 3rd Edition Book > 3 > 3.6 Management of Child and Adolescent Obesity > page 274 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 13: Fast Foods, Organic Foods, Fad Diets, and Herbs, Herbals, and Botanicals > page 407 || Pediatric-Nutrition > Section V: Nutrient Delivery Systems > Chapter 30: Nutrition Therapy for Children and Adolescents With Type 1 and Type 2 Diabetes Mellitus > page 841 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 7: Feeding the Child > page 221",,dev
3,,DEV006,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.666667,0.4,0.5,1.0,1.0,,school meals breakfast lunch snacks vending packed lunch child care nutrition food allergy elimination diet nutrient adequacy school meals cross-contact allergen safety school-age children and adolescents pediatric nutrition,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,0.919721,0.919721,1.0,0.666667,0.4,0.5,1.0,1.0,,1.0,1.0,0.919721,0.919721,1.0,0.666667,0.4,كيف تُصمم وجبة مدرسية آمنة ومتوازنة لطالب لديه حساسية غذائية مع تقليل خطر التلامس العرضي؟,0.5,1.0,1.0,2,1,1.0,1.0,1.0,1.0,1.0,0.613147,0.877215,1.0,0.333333,0.4,0.5,0.5,1.0,"Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 9: Nutrition in School, Preschool, and Child Care > page 270 || Pediatric-Nutrition > Section VII: Nutrition and Public Health > Chapter 49: Preventing Food Insecurity - Available Community Nutrition Programs > page 1336 || Pediatric-Nutrition > Section V: Nutrient Delivery Systems > Chapter 34: Food Allergy > page 977 || Pediatric-Nutrition > Section V: Nutrient Delivery Systems > Chapter 33: Pediatric Obesity > page 942 || Pediatric-Nutrition > Section V: Nutrient Delivery Systems > Chapter 36: Nutritional Support of Children With Developmental Disabilities > page 1032",,dev
1,,GT001,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,,school meals breakfast lunch snacks vending packed lunch child care nutrition school-age children and adolescents pediatric nutrition,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,How can breakfast skipping affect nutrition and readiness to learn during the school day?,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,"Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 9: Nutrition in School, Preschool, and Child Care > page 273 || Pediatric-Nutrition > Section VII: Nutrition and Public Health > Chapter 49: Preventing Food Insecurity - Available Community Nutrition Programs > page 1336 || Pediatric-Nutrition > Section V: Nutrient Delivery Systems > Chapter 33: Pediatric Obesity > page 942 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 8: Adolescent Nutrition > page 245 || Pediatric-Nutrition > Section V: Nutrient Delivery Systems > Chapter 36: Nutritional Support of Children With Developmental Disabilities > page 1032",,test
1,,GT002,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,,school packed lunch food safety cross contamination temperature infectious disease school meals breakfast lunch snacks vending packed lunch child care nutrition school-age children and adolescents pediatric nutrition,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,كيف يمكن تقييم جودة اللانش بوكس والوجبات الخفيفة والمشروبات التي يتناولها الطالب داخل المدرسة؟,1.0,1.0,1.0,1,2,0.0,1.0,1.0,0.5,0.0,0.63093,0.63093,0.0,0.333333,0.2,0.0,1.0,1.0,"Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 9: Nutrition in School, Preschool, and Child Care > page 273 || Pediatric-Nutrition > Section VII: Nutrition and Public Health > Chapter 49: Preventing Food Insecurity - Available Community Nutrition Programs > page 1336 || Pediatric-Nutrition > Section VII: Nutrition and Public Health > Chapter 51: Food Safety: Infectious Disease > page 1430 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 13: Fast Foods, Organic Foods, Fad Diets, and Herbs, Herbals, and Botanicals > page 382 || PNP 3rd Edition Book > 1 > 1.4 Micronutrient Needs in Children and Adolescents > 1.4.3 Food Safety > page 118",,test
2,,GT003,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,,food insecurity screening school breakfast lunch nutrition assistance programs school-age children and adolescents pediatric nutrition,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,Which school and community nutrition programs can support a student experiencing food insecurity?,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,"Pediatric-Nutrition > Section VII: Nutrition and Public Health > Chapter 49: Preventing Food Insecurity - Available Community Nutrition Programs > page 1336 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 9: Nutrition in School, Preschool, and Child Care > page 252 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 8: Adolescent Nutrition > page 241 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 7: Feeding the Child > page 220 || Pediatric-Nutrition > Section V: Nutrient Delivery Systems > Chapter 36: Nutritional Support of Children With Developmental Disabilities > page 1032",,test
2,,GT004,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,,adolescent nutrition puberty growth nutrient requirements adolescents pediatric nutrition,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,كيف يغيّر البلوغ وتسارع النمو الاحتياجات الغذائية للمراهق؟,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,PNP 3rd Edition Book > 2 > 2.7 Adolescent Nutrition: Issues and Actions > page 199 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 8: Adolescent Nutrition > page 235 || Pediatric-Nutrition > Section V: Nutrient Delivery Systems > Chapter 46: Nutrition in Cystic Fibrosis > page 1270 || Pediatric-Nutrition > Section IV: Micronutrients and Macronutrients > Chapter 15: Protein > page 465 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 7: Feeding the Child > page 195,,test
